Kruskal's Minimum Spanning Tree:
856 - 2932 (Weight: 1)
856 - 4332 (Weight: 1)
856 - 4334 (Weight: 1)
857 - 876 (Weight: 1)
857 - 883 (Weight: 1)
857 - 903 (Weight: 1)
857 - 938 (Weight: 1)
857 - 1119 (Weight: 1)
857 - 2210 (Weight: 1)
857 - 2592 (Weight: 1)
857 - 3358 (Weight: 1)
858 - 1001 (Weight: 1)
860 - 3398 (Weight: 1)
860 - 3400 (Weight: 1)
863 - 3886 (Weight: 1)
864 - 4238 (Weight: 1)
864 - 4254 (Weight: 1)
865 - 3394 (Weight: 1)
866 - 995 (Weight: 1)
868 - 4549 (Weight: 1)
868 - 5407 (Weight: 1)
868 - 6216 (Weight: 1)
874 - 5076 (Weight: 1)
874 - 5077 (Weight: 1)
876 - 2194 (Weight: 1)
876 - 3030 (Weight: 1)
876 - 3245 (Weight: 1)
876 - 6368 (Weight: 1)
885 - 3943 (Weight: 1)
885 - 5515 (Weight: 1)
892 - 3003 (Weight: 1)
892 - 3015 (Weight: 1)
892 - 3021 (Weight: 1)
894 - 3803 (Weight: 1)
902 - 2279 (Weight: 1)
902 - 4301 (Weight: 1)
902 - 4302 (Weight: 1)
902 - 4306 (Weight: 1)
903 - 4054 (Weight: 1)
903 - 4055 (Weight: 1)
904 - 5048 (Weight: 1)
912 - 3593 (Weight: 1)
914 - 2830 (Weight: 1)
921 - 6132 (Weight: 1)
922 - 946 (Weight: 1)
922 - 4471 (Weight: 1)
923 - 1178 (Weight: 1)
923 - 3690 (Weight: 1)
923 - 5660 (Weight: 1)
928 - 1472 (Weight: 1)
928 - 5751 (Weight: 1)
930 - 4967 (Weight: 1)
938 - 4515 (Weight: 1)
938 - 5068 (Weight: 1)
982 - 2187 (Weight: 1)
988 - 999 (Weight: 1)
995 - 2970 (Weight: 1)
995 - 2977 (Weight: 1)
995 - 2983 (Weight: 1)
1003 - 2461 (Weight: 1)
1007 - 1030 (Weight: 1)
1009 - 2411 (Weight: 1)
1017 - 2422 (Weight: 1)
1022 - 4467 (Weight: 1)
1028 - 1032 (Weight: 1)
1032 - 1368 (Weight: 1)
1032 - 1594 (Weight: 1)
1032 - 1763 (Weight: 1)
1032 - 1867 (Weight: 1)
1032 - 2118 (Weight: 1)
1032 - 4898 (Weight: 1)
1032 - 5032 (Weight: 1)
1032 - 5597 (Weight: 1)
1032 - 5737 (Weight: 1)
1032 - 5740 (Weight: 1)
1046 - 2472 (Weight: 1)
1046 - 2486 (Weight: 1)
1050 - 2416 (Weight: 1)
1050 - 4725 (Weight: 1)
1079 - 5664 (Weight: 1)
1085 - 6171 (Weight: 1)
1086 - 2315 (Weight: 1)
1090 - 2416 (Weight: 1)
1092 - 2315 (Weight: 1)
1092 - 2426 (Weight: 1)
1092 - 2437 (Weight: 1)
1092 - 2438 (Weight: 1)
1092 - 2440 (Weight: 1)
1092 - 2445 (Weight: 1)
1097 - 4911 (Weight: 1)
1098 - 5622 (Weight: 1)
1103 - 5977 (Weight: 1)
1104 - 5654 (Weight: 1)
1108 - 5246 (Weight: 1)
1108 - 5248 (Weight: 1)
1108 - 5261 (Weight: 1)
1112 - 4179 (Weight: 1)
1112 - 4219 (Weight: 1)
1112 - 4223 (Weight: 1)
1112 - 4226 (Weight: 1)
1112 - 4232 (Weight: 1)
1115 - 5365 (Weight: 1)
1118 - 3796 (Weight: 1)
